County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Kendall County, Illinois",126218,125889,63276,19729,4802,14927,37725,2970,34755,5822,885,4937,62613,19203,4205,14998,36051,4771,31280,7359,887,6472,17,093,2017
"Lake County, Illinois",703520,687836,339846,94244,27827,66417,202875,15863,187012,42727,2206,40521,347990,89133,26835,62298,207553,22895,184658,51304,4179,47125,17,097,2017
"LaSalle County, Illinois",110067,106943,52639,11927,4274,7653,31986,4613,27373,8726,737,7989,54304,12938,6109,6829,31316,7117,24199,10050,506,9544,17,099,2017
"McHenry County, Illinois",309122,307680,153143,39994,9354,30640,94086,6520,87566,19063,1217,17846,154537,38230,8047,30183,93702,9979,83723,22605,1693,20912,17,111,2017
"McLean County, Illinois",172290,171227,82598,20107,5972,14135,52871,3959,48912,9620,483,9137,88629,21346,6472,14874,55335,6915,48420,11948,924,11024,17,113,2017
"Macon County, Illinois",105801,103426,49943,12562,5555,7007,28593,5612,22981,8788,758,8030,53483,12104,5440,6664,30484,7470,23014,10895,1425,9470,17,115,2017
"Madison County, Illinois",265428,262545,127875,31961,10544,21417,77387,10872,66515,18527,1304,17223,134670,29642,7587,22055,79887,15870,64017,25141,2020,23121,17,119,2017
"Peoria County, Illinois",183011,180762,88349,23891,6657,17234,51337,7597,43740,13121,1443,11678,92413,21894,6324,15570,54172,12040,42132,16347,2469,13878,17,143,2017
"Rock Island County, Illinois",144808,142013,68400,17808,5726,12082,39268,6035,33233,11324,754,10570,73613,17153,6072,11081,41686,9814,31872,14774,1512,13262,17,161,2017
"St. Clair County, Illinois",262479,256836,123765,33811,13014,20797,72995,11274,61721,16959,1051,15908,133071,31948,12116,19832,79113,17150,61963,22010,2442,19568,17,163,2017
"Sangamon County, Illinois",196452,194529,93478,23701,8723,14978,55925,8933,46992,13852,1048,12804,101051,22334,8799,13535,60184,10930,49254,18533,2473,16060,17,167,2017
"Tazewell County, Illinois",133526,131218,63491,16333,4465,11868,36966,5180,31786,10192,253,9939,67727,15313,4478,10835,39310,6890,32420,13104,737,12367,17,179,2017
"Vermilion County, Illinois",77909,75235,36472,10046,5986,4060,19997,4127,15870,6429,682,5747,38763,9319,4778,4541,21256,5952,15304,8188,830,7358,17,183,2017
"Will County, Illinois",692661,685348,339084,94404,23640,70764,206293,17193,189100,38387,2703,35684,346264,89902,24165,65737,209558,24970,184588,46804,4074,42730,17,197,2017
"Williamson County, Illinois",67328,65177,31728,7686,2686,5000,18531,3369,15162,5511,473,5038,33449,7714,3151,4563,19186,4709,14477,6549,964,5585,17,199,2017
"Winnebago County, Illinois",284778,281607,136694,35627,19652,15975,80318,15028,65290,20749,1586,19163,144913,34145,17264,16881,84364,22334,62030,26404,2311,24093,17,201,2017
"Allen County, Indiana",372877,369342,180899,52547,18720,33827,105771,11669,94102,22581,1125,21456,188443,49510,18566,30944,110500,19367,91133,28433,2149,26284,18,003,2017
"Bartholomew County, Indiana",82040,81246,40595,10258,2593,7665,24671,2421,22250,5666,387,5279,40651,10152,1568,8584,23387,2871,20516,7112,571,6541,18,005,2017
"Boone County, Indiana",65875,65195,32246,9598,1767,7831,18889,1066,17823,3759,246,3513,32949,8655,1736,6919,19716,2115,17601,4578,281,4297,18,011,2017
"Clark County, Indiana",116973,115264,55511,14054,5255,8799,33882,3446,30436,7575,393,7182,59753,13811,4331,9480,36015,5716,30299,9927,846,9081,18,019,2017
"Delaware County, Indiana",115184,113692,55082,11486,4605,6881,35791,3771,32020,7805,836,6969,58610,10832,4681,6151,37375,6170,31205,10403,895,9508,18,035,2017
"Elkhart County, Indiana",205032,202422,99781,30482,9830,20652,57045,5704,51341,12254,721,11533,102641,28812,8983,19829,58084,9318,48766,15745,1511,14234,18,039,2017
"Floyd County, Indiana",77071,75954,37860,11045,3847,7198,21942,2378,19564,4873,386,4487,38094,8281,2596,5685,23398,3569,19829,6415,824,5591,18,043,2017
"Grant County, Indiana",66491,65643,31013,7803,4540,3263,17839,3042,14797,5371,469,4902,34630,7113,4635,2478,20551,5047,15504,6966,723,6243,18,053,2017
"Hamilton County, Indiana",323747,322094,157698,48859,4001,44858,92180,1697,90483,16659,755,15904,164396,45002,3037,41965,98751,2867,95884,20643,897,19746,18,057,2017
"Hancock County, Indiana",74985,74390,37065,10538,1550,8988,21222,1540,19682,5305,14,5291,37325,9012,1411,7601,22460,2187,20273,5853,657,5196,18,059,2017
"Hendricks County, Indiana",163685,160978,79390,23256,6284,16972,46706,2689,44017,9428,493,8935,81588,20548,4051,16497,49180,5417,43763,11860,1151,10709,18,063,2017
"Howard County, Indiana",82363,81498,38940,9757,3264,6493,22585,1811,20774,6598,366,6232,42558,9843,2543,7300,23966,3150,20816,8749,1049,7700,18,067,2017
"Johnson County, Indiana",153897,151796,74430,20803,4769,16034,44367,2671,41696,9260,506,8754,77366,18769,5240,13529,46410,4434,41976,12187,390,11797,18,081,2017
"Kosciusko County, Indiana",79206,78478,39929,10621,3853,6768,23494,1860,21634,5814,711,5103,38549,9299,2434,6865,22693,3007,19686,6557,853,5704,18,085,2017
"Lake County, Indiana",485640,482120,233153,61778,25218,36560,138038,18470,119568,33337,2883,30454,248967,59612,23276,36336,146325,28356,117969,43030,4662,38368,18,089,2017
"LaPorte County, Indiana",110029,102344,48395,11602,3605,7997,28586,4223,24363,8207,676,7531,53949,13092,4674,8418,30443,6145,24298,10414,1126,9288,18,091,2017
"Madison County, Indiana",129498,124894,60837,15373,6522,8851,35659,7411,28248,9805,1008,8797,64057,14172,7566,6606,37546,8551,28995,12339,1552,10787,18,095,2017
"Marion County, Indiana",950082,940170,452095,125765,62745,63020,278360,35568,242792,47970,5838,42132,488075,120112,54938,65174,302491,56015,246476,65472,11087,54385,18,097,2017
"Monroe County, Indiana",146986,145912,73130,15127,4719,10408,49659,5586,44073,8344,678,7666,72782,14780,3549,11231,48374,5863,42511,9628,1361,8267,18,105,2017
"Morgan County, Indiana",69713,68944,34069,8736,3454,5282,20339,2331,18008,4994,103,4891,34875,8449,2418,6031,20445,4142,16303,5981,721,5260,18,109,2017
"Porter County, Indiana",168404,166566,83516,21088,6164,14924,50709,4129,46580,11719,550,11169,83050,19419,5934,13485,49810,8255,41555,13821,1311,12510,18,127,2017
"St. Joseph County, Indiana",270434,268146,130022,35890,13379,22511,76100,8475,67625,18032,1482,16550,138124,32946,11436,21510,82231,11716,70515,22947,3756,19191,18,141,2017
"Tippecanoe County, Indiana",190587,188645,95907,22358,6807,15551,64586,5232,59354,8963,376,8587,92738,22128,6323,15805,59227,6998,52229,11383,736,10647,18,157,2017
"Vanderburgh County, Indiana",181616,179199,86541,21114,7874,13240,52974,6314,46660,12453,863,11590,92658,21231,7895,13336,55404,9876,45528,16023,2195,13828,18,163,2017
"Vigo County, Indiana",107516,103506,51042,13211,5953,7258,31274,3917,27357,6557,859,5698,52464,11646,5004,6642,31204,5702,25502,9614,1764,7850,18,167,2017
"Wayne County, Indiana",66185,64698,31295,7593,3304,4289,19028,2791,16237,4674,405,4269,33403,7489,3229,4260,19356,3862,15494,6558,874,5684,18,177,2017
"Black Hawk County, Iowa",132648,131460,64083,16023,6558,9465,39176,5543,33633,8884,595,8289,67377,14648,6886,7762,41445,8209,33236,11284,914,10370,19,013,2017
"Dallas County, Iowa",87235,86754,43081,13891,2925,10966,25025,1399,23626,4165,102,4063,43673,11695,2238,9457,26444,2070,24374,5534,543,4991,19,049,2017
"Dubuque County, Iowa",97041,95714,46800,12263,3038,9225,27791,2772,25019,6746,554,6192,48914,11693,3402,8291,28169,4267,23902,9052,703,8349,19,061,2017
"Johnson County, Iowa",149210,147677,72819,16898,4026,12872,48090,3170,44920,7831,552,7279,74858,16994,3211,13783,49119,4038,45081,8745,195,8550,19,103,2017
"Linn County, Iowa",224115,222311,108963,28598,9631,18967,65661,8753,56908,14704,443,14261,113348,27531,9919,17612,67011,9386,57625,18806,1390,17416,19,113,2017
"Polk County, Iowa",481830,477038,235337,64852,22816,42036,144496,17197,127299,25989,2015,23974,241701,61611,20139,41472,146841,20406,126435,33249,3889,29360,19,153,2017
"Pottawattamie County, Iowa",93386,92396,45217,11854,4888,6966,26426,4220,22206,6937,529,6408,47179,11615,5512,6103,26897,5847,21050,8667,984,7683,19,155,2017
"Scott County, Iowa",172509,170686,83973,22268,8378,13890,49928,7962,41966,11777,523,11254,86713,21189,7056,14133,51174,9306,41868,14350,1847,12503,19,163,2017
"Story County, Iowa",97502,96827,50573,9216,1404,7812,36564,2339,34225,4793,330,4463,46254,9942,1841,8101,30300,2629,27671,6012,821,5191,19,169,2017
"Woodbury County, Iowa",102429,101346,49751,13613,7558,6055,29612,3451,26161,6526,503,6023,51595,14149,6926,7223,29212,6076,23136,8234,1111,7123,19,193,2017
"Butler County, Kansas",66878,64249,32026,9860,2115,7745,17786,998,16788,4380,581,3799,32223,8515,2157,6358,18459,1480,16979,5249,555,4694,20,015,2017
"Douglas County, Kansas",120793,120097,58541,12937,3060,9877,39201,2260,36941,6403,502,5901,61556,13211,2790,10421,40823,3319,37504,7522,559,6963,20,045,2017
"Johnson County, Kansas",591178,587242,288423,78310,13171,65139,174656,4138,170518,35457,1515,33942,298819,74695,11991,62704,179515,6601,172914,44609,2454,42155,20,091,2017
"Leavenworth County, Kansas",81095,74004,37395,11693,1807,9886,20953,1363,19590,4749,340,4409,36609,9225,2574,6651,21481,1769,19712,5903,794,5109,20,103,2017
"Riley County, Kansas",74172,67996,32770,6841,1392,5449,22985,610,22375,2944,231,2713,35226,7416,2001,5415,24158,1313,22845,3652,103,3549,20,161,2017
"Sedgwick County, Kansas",513687,508665,250470,71123,23851,47272,147491,11447,136044,31856,3714,28142,258195,68515,26291,42224,151224,16840,134384,38456,6340,32116,20,173,2017
"Shawnee County, Kansas",178187,174718,85062,22557,6806,15751,49746,4064,45682,12759,1212,11547,89656,21385,5319,16066,51074,5065,46009,17197,1862,15335,20,177,2017
"Wyandotte County, Kansas",165288,163867,80548,24320,14116,10204,48021,3886,44135,8207,1076,7131,83319,23935,13858,10077,48562,8434,40128,10822,1698,9124,20,209,2017
"Boone County, Kentucky",130728,129895,64191,18272,5287,12985,38349,4888,33461,7570,339,7231,65704,17666,4955,12711,39137,5247,33890,8901,1040,7861,21,015,2017
"Bullitt County, Kentucky",80246,79890,39904,9854,2107,7747,24540,3615,20925,5510,469,5041,39986,9318,2709,6609,23961,4963,18998,6707,1046,5661,21,029,2017
"Campbell County, Kentucky",92488,90830,44488,10767,2417,8350,27788,2703,25085,5933,461,5472,46342,9825,1870,7955,28998,4236,24762,7519,800,6719,21,037,2017
"Christian County, Kentucky",70416,60691,29258,10475,5892,4583,15243,3560,11683,3540,380,3160,31433,8856,3781,5075,17982,6419,11563,4595,1242,3353,21,047,2017
"Daviess County, Kentucky",100374,98141,46828,13244,6783,6461,26933,4193,22740,6651,596,6055,51313,12652,6725,5927,29615,6785,22830,9046,797,8249,21,059,2017
"Fayette County, Kentucky",321959,317189,154775,37677,12301,25376,99883,14216,85667,17215,1341,15874,162414,36433,12251,24182,103081,18700,84381,22900,1831,21069,21,067,2017
"Hardin County, Kentucky",108071,102928,49637,14159,3989,10170,29075,5063,24012,6403,756,5647,53291,13666,4953,8713,31913,7496,24417,7712,1068,6644,21,093,2017
"Jefferson County, Kentucky",771158,761748,368493,92314,39838,52476,225400,35368,190032,50779,5899,44880,393255,88980,37228,51752,237725,52776,184949,66550,9331,57219,21,111,2017
"Kenton County, Kentucky",165399,164042,81623,21965,7901,14064,49538,7351,42187,10120,1099,9021,82419,19519,5835,13684,50307,7991,42316,12593,1677,10916,21,117,2017
"McCracken County, Kentucky",65385,64218,31386,8263,3499,4764,18066,2708,15358,5057,450,4607,32832,7357,2163,5194,18688,4853,13835,6787,415,6372,21,145,2017
"Madison County, Kentucky",91226,90395,44057,10610,3923,6687,28172,4858,23314,5275,711,4564,46338,11386,5230,6156,28365,6905,21460,6587,900,5687,21,151,2017
"Oldham County, Kentucky",66415,62841,30771,9514,1403,8111,17656,1042,16614,3601,153,3448,32070,9790,1148,8642,18248,1453,16795,4032,313,3719,21,185,2017
"Warren County, Kentucky",128845,127726,61639,15336,5063,10273,39310,6916,32394,6993,1157,5836,66087,17173,8435,8738,40360,10088,30272,8554,1367,7187,21,227,2017
"Ascension Parish, Louisiana",122948,122107,59096,16590,5427,11163,36390,3401,32989,6116,615,5501,63011,18562,5500,13062,37183,6074,31109,7266,1181,6085,22,005,2017
"Bossier Parish, Louisiana",127634,121524,58282,17651,6043,11608,33640,3828,29812,6991,763,6228,63242,15848,6835,9013,38027,6445,31582,9367,2239,7128,22,015,2017
"Caddo Parish, Louisiana",246581,242321,114659,31271,18280,12991,66792,15409,51383,16596,2497,14099,127662,30350,19686,10664,74932,21058,53874,22380,5232,17148,22,017,2017
"Calcasieu Parish, Louisiana",202445,200261,96843,26579,13749,12830,57788,7153,50635,12476,1842,10634,103418,25695,15597,10098,61900,12690,49210,15823,1828,13995,22,019,2017
"East Baton Rouge Parish, Louisiana",446268,443119,213293,55506,25203,30303,132920,17053,115867,24867,2645,22222,229826,53891,24090,29801,141748,28531,113217,34187,5156,29031,22,033,2017
"Iberia Parish, Louisiana",72176,71385,33800,9884,5179,4705,19464,4372,15092,4452,510,3942,37585,11121,6471,4650,21034,8344,12690,5430,512,4918,22,045,2017
"Jefferson Parish, Louisiana",439036,435362,210018,51209,31019,20190,127834,22772,105062,30975,4760,26215,225344,49432,27250,22182,135174,31358,103816,40738,5313,35425,22,051,2017
"Lafayette Parish, Louisiana",242485,240302,117967,32872,11271,21601,72334,11370,60964,12761,2340,10421,122335,30234,10723,19511,75653,14501,61152,16448,3327,13121,22,055,2017
"Lafourche Parish, Louisiana",98426,97629,48411,13247,6564,6683,28765,4365,24400,6399,955,5444,49218,11141,4848,6293,30384,7071,23313,7693,1833,5860,22,057,2017
"Livingston Parish, Louisiana",138228,136995,66861,19284,6637,12647,39574,4706,34868,8003,787,7216,70134,17621,6387,11234,42517,7667,34850,9996,990,9006,22,063,2017
"Orleans Parish, Louisiana",393292,386865,181703,41972,25679,16293,116641,26756,89885,23090,3568,19522,205162,40609,24244,16365,133359,41057,92302,31194,8084,23110,22,071,2017
"Ouachita Parish, Louisiana",155874,151026,70153,20543,13333,7210,40777,7196,33581,8833,1740,7093,80873,20669,10984,9685,47668,11805,35863,12536,3014,9522,22,073,2017
"Rapides Parish, Louisiana",131648,128749,61680,18647,10611,8036,34334,7361,26973,8699,1290,7409,67069,16721,9141,7580,38781,9876,28905,11567,2228,9339,22,079,2017
"St. Landry Parish, Louisiana",83497,82272,41127,14125,4772,9353,21521,4628,16893,5481,568,4913,41145,10270,5190,5080,23734,4158,19576,7141,1942,5199,22,097,2017
"St. Tammany Parish, Louisiana",256327,254291,122430,32753,12057,20696,71217,8280,62937,18460,1746,16714,131861,32964,12564,20400,76464,14179,62285,22433,3208,19225,22,103,2017
"Tangipahoa Parish, Louisiana",132497,131783,64617,17911,12145,5766,38485,7436,31049,8221,1204,7017,67166,16437,10572,5865,41056,10699,30357,9673,2097,7576,22,105,2017
"Terrebonne Parish, Louisiana",112086,110457,53886,15519,8001,7518,31170,6122,25048,7197,1621,5576,56571,15343,6498,8845,33148,11314,21834,8080,1829,6251,22,109,2017
"Androscoggin County, Maine",107651,106652,52739,12665,4726,7939,31666,4665,27001,8408,1267,7141,53913,12131,4075,8056,31989,5419,26570,9793,1317,8476,23,001,2017
"Aroostook County, Maine",67653,66253,32777,6631,3249,3382,19341,3317,16024,6805,1369,5436,33476,6370,2457,3913,18966,4991,13975,8140,2390,5750,23,003,2017
"Cumberland County, Maine",292500,289268,139871,30103,6225,23878,87027,6605,80422,22741,3109,19632,149397,28410,5258,23152,92549,7821,84728,28438,3581,24857,23,005,2017
"Kennebec County, Maine",121821,120206,57984,12676,4855,7821,35422,5781,29641,9886,1497,8389,62222,12954,3723,9231,36852,6867,29985,12416,2352,10064,23,011,2017
"Penobscot County, Maine",151957,150636,74516,16082,7168,8914,45921,7466,38455,12513,1754,10759,76120,14668,4732,9936,47180,10103,37077,14272,2836,11436,23,019,2017
"York County, Maine",204191,202473,99437,20826,3269,17557,60621,5094,55527,17990,2625,15365,103036,19423,4822,14601,61993,6027,55966,21620,3146,18474,23,031,2017
"Allegany County, Maryland",71615,66253,32888,7426,3806,3620,19410,4221,15189,6052,1090,4962,33365,6575,3226,3349,19661,5414,14247,7129,763,6366,24,001,2017
"Anne Arundel County, Maryland",573235,553993,268493,67699,13320,54379,164639,15282,149357,36155,2597,33558,285500,65819,16372,49447,175899,20971,154928,43782,3814,39968,24,003,2017
"Baltimore County, Maryland",832468,824193,391409,96716,28433,68283,237977,31742,206235,56716,4972,51744,432784,92586,25211,67375,263147,41000,222147,77051,8828,68223,24,005,2017
"Calvert County, Maryland",91502,90423,44367,11160,2641,8519,26997,2773,24224,6210,509,5701,46056,10963,2742,8221,28216,3383,24833,6877,861,6016,24,009,2017
"Carroll County, Maryland",167781,165557,81440,20306,3320,16986,49517,3335,46182,11617,568,11049,84117,18673,3990,14683,50900,5233,45667,14544,1403,13141,24,013,2017
"Cecil County, Maryland",102746,101860,51112,13376,4034,9342,30637,5253,25384,7099,699,6400,50748,11155,3431,7724,31564,6645,24919,8029,1646,6383,24,015,2017
"Charles County, Maryland",159700,155774,74016,20901,4590,16311,44917,4312,40605,8198,505,7693,81758,19173,3858,15315,51566,5235,46331,11019,1460,9559,24,017,2017
"Frederick County, Maryland",252022,249518,122542,31364,7991,23373,75713,6509,69204,15465,1307,14158,126976,30150,7421,22729,77823,8940,68883,19003,1734,17269,24,021,2017
"Harford County, Maryland",252160,249179,121690,30806,6450,24356,73827,8697,65130,17057,1256,15801,127489,28445,5306,23139,76917,9526,67391,22127,2077,20050,24,025,2017
"Howard County, Maryland",321113,317477,153657,41636,9240,32396,92717,8207,84510,19304,1732,17572,163820,40759,8823,31936,99709,11014,88695,23352,2054,21298,24,027,2017
"Montgomery County, Maryland",1058810,1049737,507107,132594,37550,95044,306713,27130,279583,67800,7041,60759,542630,125518,34003,91515,330022,33574,296448,87090,11246,75844,24,031,2017
